단어,좌문맥ID,우문맥ID,가중치(단어비용),품사태그,의미분류,종성 유무,읽기,타입,첫 품사,마지막 품사,원형,인덱스 표현
가미강활속단탕,1786,3546,2953,NNP,*,T,가미강활속단탕,Compound,*,*,*,가미/NNP/*+강활/NNP/*+속단/NNP/*+탕/NNP/*
가미곽정탕,1786,3546,2953,NNP,*,T,가미곽정탕,Compound,*,*,*,가미/NNP/*+곽정/NNP/*+탕/NNP/*
가미귀비탕,1786,3546,2953,NNP,*,T,가미귀비탕,Compound,*,*,*,가미/NNP/*+귀비탕/NNP/*
가미대강활탕,1786,3546,2953,NNP,*,T,가미대강활탕,Compound,*,*,*,가미/NNP/*+강활/NNP/*+탕/NNP/*
가미대보탕,1786,3546,2953,NNP,*,T,가미대보탕,Compound,*,*,*,가미/NNP/*+대보탕/NNP/*
가미보익탕,1786,3546,2953,NNP,*,T,가미보익탕,Compound,*,*,*,가미/NNP/*+보익/NNP/*+탕/NNP/*
가미보중익기탕,1786,3546,2953,NNP,*,T,가미보중익기탕,Compound,*,*,*,가미/NNP/*+보중익기탕/NNP/*
가미사육탕,1786,3546,2953,NNP,*,T,가미사육탕,Compound,*,*,*,미사/NNP/*+육탕/NNP/*
가미사칠탕,1786,3546,2953,NNP,*,T,가미사칠탕,Compound,*,*,*,가미/NNP/*+사/NNP/*+칠/NNP/*+탕/NNP/*
가미생화탕,1786,3546,2953,NNP,*,T,가미생화탕,Compound,*,*,*,가미/NNP/*+탕/NNP/*
가미서경탕,1786,3546,2953,NNP,*,T,가미서경탕,Compound,*,*,*,가미/NNP/*+서경/NNP/*+탕/NNP/*
가미소담제습탕,1786,3546,2953,NNP,*,T,가미소담제습탕,Compound,*,*,*,가미/NNP/*+소담/NNP/*+제습/NNP/*+탕/NNP/*
가미소풍활혈탕,1786,3546,2953,NNP,*,T,가미소풍활혈탕,Compound,*,*,*,가미/NNP/*+소풍활혈탕/NNP/*
가미십전탕,1786,3546,2953,NNP,*,T,가미십전탕,Compound,*,*,*,가미/NNP/*+십/NNP/*+전탕/NNP/*
가미쌍화탕,1786,3546,2953,NNP,*,T,가미쌍화탕,Compound,*,*,*,가미/NNP/*+쌍화탕/NNP/*
가미온담탕,1786,3546,2953,NNP,*,T,가미온담탕,Compound,*,*,*,가미/NNP/*+온담탕/NNP/*
가미윌비가출탕,1786,3546,2953,NNP,*,T,가미윌비가출탕,Compound,*,*,*,가미/NNP/*+윌비/NNP/*+출탕/NNP/*
가미조리폐원탕,1786,3546,2953,NNP,*,T,가미조리폐원탕,Compound,*,*,*,가미/NNP/*+조리/NNP/*+폐원/NNP/*+탕/NNP/*
가미진해탕,1786,3546,2953,NNP,*,T,가미진해탕,Compound,*,*,*,미진/NNP/*+해탕/NNP/*
가미천금조위탕,1786,3546,2953,NNP,*,T,가미천금조위탕,Compound,*,*,*,가미/NNP/*+천금/NNP/*+조위/NNP/*+탕/NNP/*
가미청간탕,1786,3546,2953,NNP,*,T,가미청간탕,Compound,*,*,*,가미/NNP/*+청간/NNP/*+탕/NNP/*
가미청상보하탕,1786,3546,2953,NNP,*,T,가미청상보하탕,Compound,*,*,*,가미/NNP/*+청/NNP/*+상보/NNP/*+하탕/NNP/*
가미활혈탕,1786,3546,2953,NNP,*,T,가미활혈탕,Compound,*,*,*,가미/NNP/*+활혈/NNP/*+탕/NNP/*
갈근대승기탕,1786,3546,2953,NNP,*,T,갈근대승기탕,Compound,*,*,*,갈근/NNP/*+대승기탕/NNP/*
갈근부평탕,1786,3546,2953,NNP,*,T,갈근부평탕,Compound,*,*,*,갈근/NNP/*+부평/NNP/*+탕/NNP/*
갈근소승기탕,1786,3546,2953,NNP,*,T,갈근소승기탕,Compound,*,*,*,갈근/NNP/*+소승기탕/NNP/*
갈근승기탕,1786,3546,2953,NNP,*,T,갈근승기탕,Compound,*,*,*,갈근/NNP/*+승기탕/NNP/*
갈근조위탕,1786,3546,2953,NNP,*,T,갈근조위탕,Compound,*,*,*,갈근/NNP/*+조위/NNP/*+탕/NNP/*
갈근탕,1786,3546,2953,NNP,*,T,갈근탕,*,*,*,*,갈근탕/NNP/*
갈근해기탕,1786,3546,2953,NNP,*,T,갈근해기탕,*,*,*,*,갈근해기탕/NNP/*
갈근황련황금탕,1786,3546,2953,NNP,*,T,갈근황련황금탕,Compound,*,*,*,갈근/NNP/*+황련/NNP/*+황금/NNP/*+탕/NNP/*
갈용부평탕,1786,3546,2953,NNP,*,T,갈용부평탕,Compound,*,*,*,갈용/NNP/*+부평/NNP/*+탕/NNP/*
갈화해성탕,1786,3546,2953,NNP,*,T,갈화해성탕,Compound,*,*,*,갈화/NNP/*+성탕/NNP/*
감맥대조탕,1786,3546,2953,NNP,*,T,감맥대조탕,Compound,*,*,*,감/NNP/*+맥/NNP/*+조탕/NNP/*
감초건강탕,1786,3546,2953,NNP,*,T,감초건강탕,Compound,*,*,*,감초/NNP/*+건강/NNP/*+탕/NNP/*
감초탕,1786,3546,2953,NNP,*,T,감초탕,Compound,*,*,*,감초/NNP/*+탕/NNP/*
강출관중탕,1786,3546,2953,NNP,*,T,강출관중탕,Compound,*,*,*,강출/NNP/*+관중/NNP/*+탕/NNP/*
강화지황탕,1786,3546,2953,NNP,*,T,강화지황탕,Compound,*,*,*,강화/NNP/*+지황탕/NNP/*
강활방풍탕,1786,3546,2953,NNP,*,T,강활방풍탕,Compound,*,*,*,강활/NNP/*+방풍/NNP/*+탕/NNP/*
강활승습탕,1786,3546,2953,NNP,*,T,강활승습탕,Compound,*,*,*,강활/NNP/*+승습/NNP/*+탕/NNP/*
개결서경탕,1786,3546,2953,NNP,*,T,개결서경탕,Compound,*,*,*,개결/NNP/*+서경/NNP/*+탕/NNP/*
거담청심탕,1786,3546,2953,NNP,*,T,거담청심탕,Compound,*,*,*,거담/NNP/*+청심/NNP/*+탕/NNP/*
거습활혈지통탕,1786,3546,2953,NNP,*,T,거습활혈지통탕,Compound,*,*,*,거습/NNP/*+활혈/NNP/*+지통/NNP/*+탕/NNP/*
건리탕,1786,3546,2953,NNP,*,T,건리탕,*,*,*,*,건리탕/NNP/*
건율저근피탕,1786,3546,2953,NNP,*,T,건율저근피탕,Compound,*,*,*,건율/NNP/*+근피/NNP/*+탕/NNP/*
건율제조탕,1786,3546,2953,NNP,*,T,건율제조탕,Compound,*,*,*,건율/NNP/*+조탕/NNP/*
견통도담탕,1786,3546,2953,NNP,*,T,견통도담탕,Compound,*,*,*,견/NNP/*+통도/NNP/*+담/NNP/*+탕/NNP/*
경험조위탕,1786,3546,2953,NNP,*,T,경험조위탕,Compound,*,*,*,경험/NNP/*+조위/NNP/*+탕/NNP/*
계강양위탕,1786,3546,2953,NNP,*,T,계강양위탕,Compound,*,*,*,계강/NNP/*+양위탕/NNP/*
계부곽진이중탕,1786,3546,2953,NNP,*,T,계부곽진이중탕,Compound,*,*,*,계부/NNP/*+곽진/NNP/*+이중탕/NNP/*
계작지모탕,1786,3546,2953,NNP,*,T,계작지모탕,Compound,*,*,*,계/NNP/*+모탕/NNP/*
계지가영출부탕,1786,3546,2953,NNP,*,T,계지가영출부탕,Compound,*,*,*,계지/NNP/*+영출/NNP/*+부탕/NNP/*
계지가영출황기탕,1786,3546,2953,NNP,*,T,계지가영출황기탕,Compound,*,*,*,계지/NNP/*+영출/NNP/*+황기탕/NNP/*
계지가용골모려탕,1786,3546,2953,NNP,*,T,계지가용골모려탕,Compound,*,*,*,계지/NNP/*+용골/NNP/*+모려/NNP/*+탕/NNP/*
