단어,좌문맥ID,우문맥ID,가중치(단어비용),품사태그,의미분류,종성 유무,읽기,타입,첫 품사,마지막 품사,원형,인덱스 표현
가자,,,,NNP,*,F,가자,*,*,*,*,가자/NNP/*
교감단,,,,NNP,*,T,교감단,*,*,*,*,교감단/NNP/*
냉,,,,NNP,*,T,냉,*,*,*,*,냉/NNP/*
맹충,,,,NNP,*,T,맹충,*,*,*,*,맹충/NNP/*
비건,,,,NNP,*,T,비건,*,*,*,*,비건/NNP/*
비해,,,,NNP,*,F,비해,*,*,*,*,비해/NNP/*
설사,,,,NNP,*,F,설사,*,*,*,*,설사/NNP/*
습진,,,,NNP,*,T,습진,*,*,*,*,습진/NNP/*
어둔함,,,,NNP,*,T,어둔함,*,*,*,*,어둔함/NNP/*
어지러움,,,,NNP,*,T,어지러움,*,*,*,*,어지러움/NNP/*
위한,,,,NNP,*,T,위한,*,*,*,*,위한/NNP/*
유연성,,,,NNP,*,T,유연성,*,*,*,*,유연성/NNP/*
이기약,,,,NNP,*,T,이기약,*,*,*,*,이기약/NNP/*
죽여,,,,NNP,*,F,죽여,*,*,*,*,죽여/NNP/*
지루,,,,NNP,*,F,지루,*,*,*,*,지루/NNP/*
통년성,,,,NNP,*,T,통년성,*,*,*,*,통년성/NNP/*
통한,,,,NNP,*,T,통한,*,*,*,*,통한/NNP/*
하기도,,,,NNP,*,F,하기도,*,*,*,*,하기도/NNP/*
한담,,,,NNP,*,T,한담,*,*,*,*,한담/NNP/*
한산,,,,NNP,*,T,한산,*,*,*,*,한산/NNP/*
허냉,,,,NNP,*,T,허냉,*,*,*,*,허냉/NNP/*
협착성,,,,NNP,*,T,협착성,*,*,*,*,협착성/NNP/*
희렴,,,,NNP,*,T,희렴,*,*,*,*,희렴/NNP/*
강당귀,,,,NNP,*,F,강당귀,Compound,*,*,*,강당/NNP/*+귀/NNP/*
윤활낭염,,,,NNP,*,T,윤활낭염,Compound,*,*,*,윤활/NNP/*+낭/NNP/*+염/NNP/*
사역산,,,,NNP,*,T,사역산,Compound,*,*,*,사역/NNP/*+산/NNP/*
암,,,,NNP,*,T,암,*,*,*,*,암/NNP/*
유형,,,,NNP,*,T,유형,*,*,*,*,유형/NNP/*
한체간맥증,,,,NNP,*,T,한체간맥증,Compound,*,*,*,체간/NNP/*+맥/NNP/*+증/NNP/*
육미지황탕,,,,NNP,*,T,육미지황탕,*,*,*,*,육미지황탕/NNP/*
장애,,,,NNP,*,F,장애,*,*,*,*,장애/NNP/*
슬개대퇴통증,,,,NNP,*,T,슬개대퇴통증,Compound,*,*,*,개/NNP/*+대퇴/NNP/*+통증/NNP/*
백지,,,,NNP,*,F,백지,*,*,*,*,백지/NNP/*
콧물,,,,NNP,*,T,콧물,*,*,*,*,콧물/NNP/*
모과,,,,NNP,*,F,모과,*,*,*,*,모과/NNP/*
장경인대,,,,NNP,*,F,장경인대,Compound,*,*,*,장경/NNP/*+인대/NNP/*
속단,,,,NNP,*,T,속단,*,*,*,*,속단/NNP/*
고름물집성,,,,NNP,*,T,고름물집성,Compound,*,*,*,고름/NNP/*+물집성/NNP/*
속수자,,,,NNP,*,F,속수자,*,*,*,*,속수자/NNP/*
도표,,,,NNP,*,F,도표,*,*,*,*,도표/NNP/*
척추기저동맥,,,,NNP,*,T,척추기저동맥,Compound,*,*,*,척추/NNP/*+기저/NNP/*+동맥/NNP/*
말초신경,,,,NNP,*,T,말초신경,Compound,*,*,*,말초/NNP/*+신경/NNP/*
길초근단,,,,NNP,*,T,길초근단,Compound,*,*,*,길/NNP/*+초근/NNP/*+단/NNP/*
케라틴,,,,NNP,*,T,케라틴,*,*,*,*,케라틴/NNP/*
상완골,,,,NNP,*,T,상완골,*,*,*,*,상완골/NNP/*
자단향,,,,NNP,*,T,자단향,*,*,*,*,자단향/NNP/*
뼈괴사,,,,NNP,*,F,뼈괴사,Compound,*,*,*,뼈/NNP/*+괴사/NNP/*
해구신,,,,NNP,*,T,해구신,*,*,*,*,해구신/NNP/*
황금,,,,NNP,*,T,황금,*,*,*,*,황금/NNP/*
통치방,,,,NNP,*,T,통치방,Compound,*,*,*,통치/NNP/*+방/NNP/*
약능,,,,NNP,*,T,약능,*,*,*,*,능/NNP/*
감마,,,,NNP,*,F,감마,*,*,*,*,감마/NNP/*
경결,,,,NNP,*,T,경결,*,*,*,*,경결/NNP/*
