단어,좌문맥ID,우문맥ID,가중치(단어비용),품사태그,의미분류,종성 유무,읽기,타입,첫 품사,마지막 품사,표현
화담지해평천약천마,,,,NNP,*,F,화담지해평천약천마,*,*,*,*
결막염,,,,NNP,*,T,결막염,*,*,*,*
누고,,,,NNP,*,F,누고,*,*,*,*
행인,,,,NNP,*,T,행인,*,*,*,*
임파선종,,,,NNP,*,T,임파선종,*,*,*,*
유향몰약경분환,,,,NNP,*,T,유향몰약경분환,*,*,*,*
심흉비민,,,,NNP,*,T,심흉비민,*,*,*,*
구각,,,,NNP,*,T,구각,*,*,*,*
수습범람증,,,,NNP,*,T,수습범람증,*,*,*,*
고혈압,,,,NNP,*,T,고혈압,*,*,*,*
이한병,,,,NNP,*,T,이한병,*,*,*,*
정강넙다리뼈,,,,NNP,*,F,정강넙다리뼈,*,*,*,*
지모,,,,NNP,*,F,지모,*,*,*,*
분심기음,,,,NNP,*,T,분심기음,*,*,*,*
근에너지,,,,NNP,*,F,근에너지,*,*,*,*
소뇌의,,,,NNP,*,F,소뇌의,*,*,*,*
자궁,,,,NNP,*,T,자궁,*,*,*,*
불면증,,,,NNP,*,T,불면증,*,*,*,*
회수산,,,,NNP,*,T,회수산,*,*,*,*
노자,,,,NNP,*,F,노자,*,*,*,*
증치의학,,,,NNP,*,T,증치의학,*,*,*,*
청위탕,,,,NNP,*,T,청위탕,*,*,*,*
당귀건중탕,,,,NNP,*,T,당귀건중탕,*,*,*,*
오령지,,,,NNP,*,F,오령지,*,*,*,*
좌골신경통,,,,NNP,*,T,좌골신경통,*,*,*,*
균열,,,,NNP,*,T,균열,*,*,*,*
간질,,,,NNP,*,T,간질,*,*,*,*
중이염,,,,NNP,*,T,중이염,*,*,*,*
인삼오수유탕,,,,NNP,*,T,인삼오수유탕,*,*,*,*
방풍통성산가미,,,,NNP,*,F,방풍통성산가미,*,*,*,*
한의학회,,,,NNP,*,F,한의학회,*,*,*,*
노봉방,,,,NNP,*,T,노봉방,*,*,*,*
구미천문동탕,,,,NNP,*,T,구미천문동탕,*,*,*,*
비파엽,,,,NNP,*,T,비파엽,*,*,*,*
인설성,,,,NNP,*,T,인설성,*,*,*,*
개별생리,,,,NNP,*,F,개별생리,*,*,*,*
측부인대,,,,NNP,*,F,측부인대,*,*,*,*
건칠관절단,,,,NNP,*,T,건칠관절단,*,*,*,*
큰,,,,NNP,*,T,큰,*,*,*,*
대하,,,,NNP,*,F,대하,*,*,*,*
조위승기탕,,,,NNP,*,T,조위승기탕,*,*,*,*
태양상풍증,,,,NNP,*,T,태양상풍증,*,*,*,*
구취,,,,NNP,*,F,구취,*,*,*,*
소식제꿩대정풍주,,,,NNP,*,F,소식제꿩대정풍주,*,*,*,*
수백선,,,,NNP,*,T,수백선,*,*,*,*
거담제십회산,,,,NNP,*,T,거담제십회산,*,*,*,*
상행당,,,,NNP,*,T,상행당,*,*,*,*
다어,,,,NNP,*,F,다어,*,*,*,*
내소화중탕,,,,NNP,*,T,내소화중탕,*,*,*,*
재생능력,,,,NNP,*,T,재생능력,*,*,*,*
대황부자탕,,,,NNP,*,T,대황부자탕,*,*,*,*
맞섬,,,,NNP,*,T,맞섬,*,*,*,*
공진흑원단,,,,NNP,*,T,공진흑원단,*,*,*,*
관절질환,,,,NNP,*,T,관절질환,*,*,*,*
엉덩관절의,,,,NNP,*,F,엉덩관절의,*,*,*,*
기울,,,,NNP,*,T,기울,*,*,*,*
자반병,,,,NNP,*,T,자반병,*,*,*,*
골밀도,,,,NNP,*,F,골밀도,*,*,*,*
프리라디칼에,,,,NNP,*,F,프리라디칼에,*,*,*,*
용규,,,,NNP,*,F,용규,*,*,*,*
진액휴손증,,,,NNP,*,T,진액휴손증,*,*,*,*
생기는,,,,NNP,*,T,생기는,*,*,*,*
요통,,,,NNP,*,T,요통,*,*,*,*
한담,,,,NNP,*,T,한담,*,*,*,*
륵양격산,,,,NNP,*,T,륵양격산,*,*,*,*
익지인,,,,NNP,*,T,익지인,*,*,*,*
선암,,,,NNP,*,T,선암,*,*,*,*
심신양허증,,,,NNP,*,T,심신양허증,*,*,*,*
제초오,,,,NNP,*,F,제초오,*,*,*,*
코의,,,,NNP,*,F,코의,*,*,*,*
구기자,,,,NNP,*,F,구기자,*,*,*,*
